Ingredient,Count
Gin,81.0
Vodka,64.0
Light rum,28.0
Rum,19.0
Scotch,13.0
Kahlua,18.0
Coffee,23.0
Tequila,17.0
Dark rum,10.0
Red wine,9.0
Yoghurt,8.0
Dry Vermouth,19.0
Baileys irish cream,16.0
Brandy,13.0
Lime,30.0
Bourbon,11.0
Blended whiskey,6.0
151 proof rum,12.0
Amaretto,19.0
Water,28.0
Sweet Vermouth,17.0
Beer,6.0
Sugar,51.0
Spiced rum,3.0
Sambuca,8.0
Whiskey,3.0
Dark Rum,4.0
Apricot brandy,4.0
White Rum,4.0
Milk,22.0
Irish whiskey,3.0
Orange juice,38.0
Ginger,6.0
Galliano,6.0
Irish Whiskey,2.0
Sherry,4.0
Crown Royal,3.0
Jägermeister,3.0
Cognac,3.0
Sprite,3.0
Port,5.0
Absinthe,3.0
Mint,13.0
Lime juice,14.0
Ricard,2.0
Kiwi,3.0
Vermouth,3.0
Creme de Cassis,5.0
Ice,36.0
Egg,7.0
Malibu rum,4.0
Southern Comfort,3.0
Grenadine,31.0
Pisco,2.0
Lager,2.0
Midori melon liqueur,5.0
Champagne,7.0
Everclear,3.0
Jack Daniels,4.0
Corona,2.0
Chocolate,4.0
Applejack,2.0
Black Sambuca,1.0
Coffee brandy,1.0
Heavy cream,3.0
Blended Scotch,1.0
Strawberry schnapps,1.0
Grape Soda,1.0
Cherry brandy,4.0
Lemon juice,35.0
Rye whiskey,1.0
Creme de Cacao,5.0
Cocoa powder,3.0
Absolut Citron,2.0
Campari,7.0
Bitters,12.0
Raspberry vodka,1.0
Frangelico,3.0
Tomato juice,1.0
Zima,2.0
Chambord raspberry liqueur,6.0
Peachtree schnapps,1.0
Triple sec,20.0
Yukon Jack,1.0
Green Chartreuse,5.0
Tea,4.0
Grand Marnier,5.0
Wild Turkey,3.0
Sugar syrup,7.0
Absolut Vodka,1.0
Lemonade,6.0
Godiva liqueur,1.0
Grapefruit juice,5.0
Jim Beam,1.0
Advocaat,1.0
Prosecco,5.0
Irish cream,2.0
Orange Bitters,3.0
Carbonated water,12.0
Espresso,3.0
Firewater,1.0
Green Creme de Menthe,2.0
Chocolate liqueur,2.0
Coca-Cola,10.0
Peach Vodka,1.0
Cranberry juice,11.0
gin,1.0
Fruit punch,2.0
Cherry Heering,2.0
Elderflower cordial,4.0
Apple juice,6.0
demerara Sugar,1.0
Rose,1.0
Mezcal,1.0
Cachaca,3.0
Dubonnet Rouge,1.0
Egg yolk,2.0
Whisky,1.0
Hot Damn,2.0
Lemon peel,19.0
Bacardi Limon,3.0
Coconut Liqueur,2.0
Chocolate syrup,3.0
Mango,3.0
Rye Whiskey,1.0
Kool-Aid,3.0
Cranberry vodka,1.0
Pineapple juice,14.0
Absolut Kurant,1.0
Kiwi liqueur,1.0
Hot Chocolate,1.0
Apple brandy,1.0
Coffee liqueur,3.0
Blackberry brandy,3.0
Grape juice,2.0
Cherry Juice,1.0
Cointreau,4.0
Lemon,35.0
Grapefruit Juice,5.0
Ginger ale,12.0
Peach schnapps,7.0
Lime Juice,19.0
Benedictine,5.0
Honey,5.0
Lemon Juice,12.0
Light cream,12.0
Root beer,3.0
Sugar Syrup,9.0
Lemon-lime soda,5.0
Tonic Water,5.0
Half-and-half,3.0
Orgeat syrup,2.0
Drambuie,2.0
Tomato Juice,2.0
White Creme de Menthe,3.0
Orange Juice,6.0
Passoa,2.0
Powdered sugar,26.0
Wine,3.0
Pineapple,5.0
Brown sugar,2.0
Triple Sec,3.0
Sloe gin,3.0
lemon juice,2.0
Banana,2.0
Creme de Banane,2.0
Maraschino liqueur,7.0
Blue Curacao,5.0
Club soda,7.0
Sweet and sour,6.0
7-Up,2.0
Absolut Peppar,1.0
Lime vodka,1.0
Raspberry syrup,2.0
Goldschlager,3.0
Cherry liqueur,1.0
Passion fruit juice,4.0
Coconut milk,1.0
Orange Curacao,1.0
Apricot Brandy,1.0
Pink lemonade,1.0
Amaro Montenegro,1.0
Ouzo,1.0
Gold rum,1.0
Surge,2.0
Fruit,2.0
lemon,5.0
Tonic water,3.0
Schweppes Russchian,2.0
Maple syrup,1.0
Tabasco sauce,2.0
Melon Liqueur,1.0
7-up,1.0
Maraschino Liqueur,4.0
Coriander,1.0
Pisang Ambon,1.0
Anisette,1.0
Peach nectar,1.0
Allspice,1.0
Peach Bitters,2.0
Cider,1.0
Iced tea,1.0
Butter,1.0
Corn syrup,1.0
Carbonated soft drink,1.0
Orange Peel,4.0
Maraschino Cherry,2.0
Soda water,9.0
Ginger Beer,2.0
Soda Water,10.0
Vanilla syrup,1.0
Strawberries,4.0
Apricot Nectar,1.0
Raspberry Liqueur,1.0
Sarsaparilla,1.0
Lillet,1.0
Peach brandy,1.0
Vanilla extract,10.0
Angostura bitters,4.0
Anis,3.0
Fruit juice,1.0
Pina colada mix,1.0
Orgeat Syrup,1.0
Banana liqueur,2.0
Tia maria,1.0
Falernum,1.0
Papaya,1.0
Apfelkorn,1.0
Bitter lemon,1.0
Grain alcohol,1.0
Tennessee whiskey,1.0
Jello,1.0
Lemon Peel,4.0
Condensed milk,3.0
Salt,10.0
Olive,5.0
Orange bitters,7.0
Cream,6.0
Pepsi Cola,2.0
Cinnamon,6.0
Lillet Blanc,2.0
Pineapple Juice,5.0
Ruby Port,1.0
Peychaud bitters,1.0
Fresh Lime Juice,1.0
Egg Yolk,1.0
Honey syrup,1.0
Orange peel,5.0
Egg white,12.0
Cream of coconut,1.0
White Wine,1.0
Limeade,1.0
Cranberry Juice,1.0
Rosso Vermouth,1.0
Celery salt,1.0
Cardamom,3.0
Creme De Banane,1.0
Butterscotch schnapps,1.0
Figs,1.0
Vanilla ice-cream,2.0
pineapple juice,1.0
Pomegranate juice,1.0
Angostura Bitters,10.0
White rum,1.0
Pineapple Syrup,1.0
Olive Brine,1.0
Mountain Dew,1.0
Blackcurrant cordial,1.0
Cloves,6.0
Daiquiri mix,1.0
maraschino liqueur,1.0
Sour mix,4.0
Cumin seed,1.0
Red Chili Flakes,1.0
Yellow Chartreuse,1.0
Mint syrup,1.0
Aperol,1.0
Sherbet,2.0
Whipped cream,5.0
Nutmeg,10.0
Orange,12.0
Vanilla,2.0
Cucumber,1.0
Hot Sauce,1.0
Fresh Lemon Juice,1.0
Cherry,12.0
Agave Syrup,1.0
Apple,3.0
Blood Orange,1.0
Jagermeister,1.0
Rosemary Syrup,2.0
Ginger Syrup,1.0
Passion fruit syrup,1.0
Rosemary,2.0
Asafoetida,1.0
Lime peel,2.0
Thyme,1.0
St. Germain,1.0
Almond flavoring,1.0
Añejo rum,1.0
Wormwood,1.0
Creme de Mure,1.0
Maraschino cherry,12.0
Dr. Pepper,1.0
Guinness stout,1.0
Coconut syrup,1.0
Orange spiral,3.0
Sirup of roses,1.0
Pernod,1.0
Egg White,3.0
Blackberries,2.0
Pepper,3.0
Oreo cookie,1.0
Worcestershire Sauce,1.0
Islay single malt Scotch,1.0
Whipping cream,2.0
blackstrap rum,1.0
Marshmallows,1.0
Cayenne pepper,1.0
Cherries,1.0
Apple Brandy,1.0
Soy Sauce,1.0
Caramel coloring,1.0
Sweet and Sour,1.0
Lavender,1.0
Black pepper,1.0
Fresca,1.0
