Alcohol,Count
Gin,81
Vodka,64
Sugar,51
Orange juice,38
Ice,36
Lemon juice,35
Lemon,35
Grenadine,31
Lime,30
Light rum,28
Water,28
Powdered sugar,26
Coffee,23
Milk,22
Triple sec,20
Rum,19
Dry Vermouth,19
Amaretto,19
Lemon peel,19
Lime Juice,19
Kahlua,18
Tequila,17
Sweet Vermouth,17
Baileys irish cream,16
Lime juice,14
Pineapple juice,14
Scotch,13
Brandy,13
Mint,13
151 proof rum,12
Bitters,12
Carbonated water,12
Ginger ale,12
Lemon Juice,12
Light cream,12
Egg white,12
Orange,12
Cherry,12
Maraschino cherry,12
Bourbon,11
Cranberry juice,11
Dark rum,10
Coca-Cola,10
Soda Water,10
Vanilla extract,10
Salt,10
Angostura Bitters,10
Nutmeg,10
Red wine,9
Sugar Syrup,9
Soda water,9
Yoghurt,8
Sambuca,8
Egg,7
Champagne,7
Campari,7
Sugar syrup,7
Peach schnapps,7
Maraschino liqueur,7
Club soda,7
Orange bitters,7
Blended whiskey,6
Beer,6
Ginger,6
Galliano,6
Chambord raspberry liqueur,6
Lemonade,6
Apple juice,6
Orange Juice,6
Sweet and sour,6
Cream,6
Cinnamon,6
Cloves,6
Port,5
Creme de Cassis,5
Midori melon liqueur,5
Creme de Cacao,5
Green Chartreuse,5
Grand Marnier,5
Grapefruit juice,5
Prosecco,5
Grapefruit Juice,5
Benedictine,5
Honey,5
Lemon-lime soda,5
Tonic Water,5
Pineapple,5
Blue Curacao,5
lemon,5
Olive,5
Pineapple Juice,5
Orange peel,5
Whipped cream,5
Dark Rum,4
Apricot brandy,4
White Rum,4
Sherry,4
Malibu rum,4
Jack Daniels,4
Chocolate,4
Cherry brandy,4
Tea,4
Elderflower cordial,4
Cointreau,4
Passion fruit juice,4
Maraschino Liqueur,4
Orange Peel,4
Strawberries,4
Angostura bitters,4
Lemon Peel,4
Sour mix,4
Spiced rum,3
Whiskey,3
Irish whiskey,3
Crown Royal,3
Jägermeister,3
Cognac,3
Sprite,3
Absinthe,3
Kiwi,3
Vermouth,3
Southern Comfort,3
Everclear,3
Heavy cream,3
Cocoa powder,3
Frangelico,3
Wild Turkey,3
Orange Bitters,3
Espresso,3
Cachaca,3
Bacardi Limon,3
Chocolate syrup,3
Mango,3
Kool-Aid,3
Coffee liqueur,3
Blackberry brandy,3
Root beer,3
Half-and-half,3
White Creme de Menthe,3
Wine,3
Triple Sec,3
Sloe gin,3
Goldschlager,3
Tonic water,3
Anis,3
Condensed milk,3
Cardamom,3
Apple,3
Orange spiral,3
Egg White,3
Pepper,3
Irish Whiskey,2
Ricard,2
Pisco,2
Lager,2
Corona,2
Applejack,2
Absolut Citron,2
Zima,2
Irish cream,2
Green Creme de Menthe,2
Chocolate liqueur,2
Fruit punch,2
Cherry Heering,2
Egg yolk,2
Hot Damn,2
Coconut Liqueur,2
Grape juice,2
Orgeat syrup,2
Drambuie,2
Tomato Juice,2
Passoa,2
Brown sugar,2
lemon juice,2
Banana,2
Creme de Banane,2
7-Up,2
Raspberry syrup,2
Surge,2
Fruit,2
Schweppes Russchian,2
Tabasco sauce,2
Peach Bitters,2
Maraschino Cherry,2
Ginger Beer,2
Banana liqueur,2
Pepsi Cola,2
Lillet Blanc,2
Vanilla ice-cream,2
Sherbet,2
Vanilla,2
Rosemary Syrup,2
Rosemary,2
Lime peel,2
Blackberries,2
Whipping cream,2
Black Sambuca,1
Coffee brandy,1
Blended Scotch,1
Strawberry schnapps,1
Grape Soda,1
Rye whiskey,1
Raspberry vodka,1
Tomato juice,1
Peachtree schnapps,1
Yukon Jack,1
Absolut Vodka,1
Godiva liqueur,1
Jim Beam,1
Advocaat,1
Firewater,1
Peach Vodka,1
gin,1
demerara Sugar,1
Rose,1
Mezcal,1
Dubonnet Rouge,1
Whisky,1
Rye Whiskey,1
Cranberry vodka,1
Absolut Kurant,1
Kiwi liqueur,1
Hot Chocolate,1
Apple brandy,1
Cherry Juice,1
Absolut Peppar,1
Lime vodka,1
Cherry liqueur,1
Coconut milk,1
Orange Curacao,1
Apricot Brandy,1
Pink lemonade,1
Amaro Montenegro,1
Ouzo,1
Gold rum,1
Maple syrup,1
Melon Liqueur,1
7-up,1
Coriander,1
Pisang Ambon,1
Anisette,1
Peach nectar,1
Allspice,1
Cider,1
Iced tea,1
Butter,1
Corn syrup,1
Carbonated soft drink,1
Vanilla syrup,1
Apricot Nectar,1
Raspberry Liqueur,1
Sarsaparilla,1
Lillet,1
Peach brandy,1
Fruit juice,1
Pina colada mix,1
Orgeat Syrup,1
Tia maria,1
Falernum,1
Papaya,1
Apfelkorn,1
Bitter lemon,1
Grain alcohol,1
Tennessee whiskey,1
Jello,1
Ruby Port,1
Peychaud bitters,1
Fresh Lime Juice,1
Egg Yolk,1
Honey syrup,1
Cream of coconut,1
White Wine,1
Limeade,1
Cranberry Juice,1
Rosso Vermouth,1
Celery salt,1
Creme De Banane,1
Butterscotch schnapps,1
Figs,1
pineapple juice,1
Pomegranate juice,1
White rum,1
Pineapple Syrup,1
Olive Brine,1
Mountain Dew,1
Blackcurrant cordial,1
Daiquiri mix,1
maraschino liqueur,1
Cumin seed,1
Red Chili Flakes,1
Yellow Chartreuse,1
Mint syrup,1
Aperol,1
Cucumber,1
Hot Sauce,1
Fresh Lemon Juice,1
Agave Syrup,1
Blood Orange,1
Jagermeister,1
Ginger Syrup,1
Passion fruit syrup,1
Asafoetida,1
Thyme,1
St. Germain,1
Almond flavoring,1
Añejo rum,1
Wormwood,1
Creme de Mure,1
Dr. Pepper,1
Guinness stout,1
Coconut syrup,1
Sirup of roses,1
Pernod,1
Oreo cookie,1
Worcestershire Sauce,1
Islay single malt Scotch,1
blackstrap rum,1
Marshmallows,1
Cayenne pepper,1
Cherries,1
Apple Brandy,1
Soy Sauce,1
Caramel coloring,1
Sweet and Sour,1
Lavender,1
Black pepper,1
Fresca,1
