Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,strDrinkThumb,CreativeCommons,Date_Modified
17222,A1,,Cocktail,Alcoholic,Cocktail glass,Pour all ingredients into a cocktail shaker mix and serve over ice into a chilled glass.,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,No,9/7/2017 21:42
13501,ABC,,Shot,Alcoholic,Shot glass,Layered in a shot glass.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,No,8/31/2016 19:32
17225,Ace,,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,No,9/7/2017 22:05
14610,ACID,,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,No,11/15/2016 11:28
17837,Adam,AlcoholicHoliday,Ordinary Drink,Alcoholic,Cocktail glass,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Yes,9/2/2016 11:29
13938,AT&T,,Ordinary Drink,Alcoholic,Highball Glass,Pour Vodka and Gin over ice add Tonic and Stir,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,No,4/24/2017 22:00
17833,A. J.,,Ordinary Drink,Alcoholic,Cocktail glass,Shake ingredients with ice strain into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Yes,9/2/2016 11:16
15266,Avalon,,Ordinary Drink,Alcoholic,Highball glass,Fill a tall glass with ice. Layer the Finlandia Vodka lemon and apple juices Pisang Ambon and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink created by Timo Haimi took first prize in the 1991 Finlandia Vodka Long Drink Competition.,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,No,4/24/2017 22:22
15106,Apello,,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,No,7/18/2016 22:13
17839,Affair,,Ordinary Drink,Alcoholic,Highball glass,Pour schnapps orange juice and cranberry juice over ice in a highball glass. Top with club soda and serve.,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Yes,9/1/2016 10:05
17835,Abilene,,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Yes,4/29/2016 9:44
11023,Almeria,,Ordinary Drink,Alcoholic,Cocktail glass,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,No,1/2/2017 20:16
17228,Addison,,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,No,9/7/2017 22:38
11046,Applecar,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice strain into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,No,9/2/2017 23:02
17836,Acapulco,,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Yes,9/2/2016 11:26
17840,Affinity,,Ordinary Drink,Alcoholic,Cocktail glass,In a mixing glass half-filled with ice cubes combine all of the ingredients. Stir well. Strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Yes,9/7/2017 21:44
17180,Aviation,IBAClassic,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Yes,11/4/2016 9:55
15182,After sex,,Ordinary Drink,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,No,4/24/2017 22:18
16311,Applejack,,Cocktail,Alcoholic,Cocktail glass,Add all ingredients into mixing glass chill and strain into cocktail glass,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,No,11/15/2016 11:24
12560,Afterglow,,Cocktail,Non alcoholic,Highball Glass,Mix. Serve over ice.,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,No,7/18/2016 22:07
13162,Afternoon,,Coffee / Tea,Alcoholic,Collins Glass,Build into a suiting glass with no ice. Cream on top if wanted. Served directly.,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,No,8/31/2016 19:22
11014,Alexander,IBAClassicDairy,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Yes,11/4/2016 9:50
12756,Autodafé,,Ordinary Drink,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,No,2/20/2017 15:02
11021,Allegheny,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,No,1/2/2017 20:12
15941,Americano,IBAClassic,Ordinary Drink,Alcoholic,Collins glass,Pour the Campari and vermouth over ice into glass add a splash of soda water and garnish with half orange slice.,https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,Yes,11/4/2016 9:52
15853,B-52,IBANewEra,Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,No,9/2/2017 18:07
13332,B-53,,Shot,Alcoholic,Collins Glass,Layer the Kahlua Sambucca and Grand Marnier into a shot glas in that order. Better than B-52,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,No,4/28/2016 18:53
17254,Bijou,,Cocktail,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,No,12/19/2017 18:09
11149,Boxcar,,Ordinary Drink,Alcoholic,Whiskey sour glass,In a shaker half-filled with ice cubes combine all of the ingredients. Shake well. Strain into a sour glass.,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,No,9/2/2017 16:32
13222,Big Red,,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,No,9/3/2015 3:41
17195,Bellini,ContemporaryClassicIBA,Ordinary Drink,Alcoholic,Champagne Flute,Pour peach purée into chilled flute add sparkling wine. Stir gently.,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,No,9/2/2017 16:52
17210,Bramble,IBANewEra,Ordinary Drink,Alcoholic,Old-Fashioned glass,Fill glass with crushed ice. Build gin lemon juice and simple syrup over. Stir and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.,https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,Yes,9/2/2017 18:15
11060,Balmoral,,Ordinary Drink,Alcoholic,Cocktail glass,In a mixing glass half-filled with ice cubes combine all of the ingredients. Stir well. Strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,No,9/2/2015 16:04
11120,Bluebird,,Ordinary Drink,Alcoholic,Cocktail glass,In a mixing glass half-filled with crushed ice combine the gin triple sec Curacao and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Yes,9/2/2015 17:06
178310,Brooklyn,AlcoholicSweetDateNightUSA,Cocktail,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Yes,
12572,Bora Bora,,Cocktail,Non alcoholic,Highball glass,Prepare in a blender or shaker serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,No,9/6/2016 23:43
11124,Boomerang,,Ordinary Drink,Alcoholic,Cocktail glass,In a mixing glass half-filled with ice cubes combine the gin vermouth bitters and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,No,9/2/2017 22:59
17209,Barracuda,IBANewEra,Ordinary Drink,Alcoholic,Margarita glass,Shake pour ingredients with ice. Strain into glass top with Sparkling wine.,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,No,9/2/2017 18:12
17825,Brigadier,,Cocktail,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,No,2/18/2018 9:50
178311,Broadside,,Cocktail,Alcoholic,Highball glass,Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum scotch and butters then serve!,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,Yes,
17035,Buccaneer,,Beer,Alcoholic,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,No,9/3/2015 3:57
17120,Brain Fart,,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,No,9/2/2017 23:01
