Drink_ID,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Ingredient7,Ingredient8,Ingredient9,Ingredient10,Ingredient11
17222,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,
13501,Amaretto,Baileys irish cream,Cognac,,,,,,,,
17225,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,
14610,151 proof rum,Wild Turkey,,,,,,,,,
17837,Dark rum,Lemon juice,Grenadine,,,,,,,,
13938,Absolut Vodka,Gin,Tonic water,,,,,,,,
17833,Applejack,Grapefruit juice,,,,,,,,,
15266,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,
15106,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,
17839,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,
17835,Dark rum,Peach nectar,Orange juice,,,,,,,,
11023,Dark rum,Kahlua,Egg white,,,,,,,,
17228,Gin,Vermouth,,,,,,,,,
11046,Applejack,Triple sec,Lemon juice,,,,,,,,
17836,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,
17840,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,
17180,Gin,lemon juice,maraschino liqueur,,,,,,,,
15182,Vodka,Creme de Banane,Orange juice,,,,,,,,
16311,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,
12560,Grenadine,Orange juice,Pineapple juice,,,,,,,,
13162,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,
11014,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,
12756,Vodka,Lime juice,Soda water,,,,,,,,
11021,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,
15941,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,
15853,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,
13332,Kahlua,Sambuca,Grand Marnier,,,,,,,,
17254,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,
11149,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,
13222,Irish cream,Goldschlager,,,,,,,,,
17195,Champagne,Peach schnapps,,,,,,,,,
17210,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,
11060,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,
11120,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,
178310,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,
12572,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,
11124,Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry,,,,,,
17209,Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco,,,,,,
17825,Hot Chocolate,Green Chartreuse,Cherry Heering,,,,,,,,
