Drink_ID,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Measure9,Measure10,Measure11
17222,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,
13501,1/3 whole,1/3 whole,1/3 whole,,,,,,,,
17225,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,
14610,1 oz Bacardi ,1 oz ,,,,,,,,,
17837,2 oz ,1 oz ,1 tsp ,,,,,,,,
13938,1 oz ,1 oz ,4 oz ,,,,,,,,
17833,1 1/2 oz ,1 oz ,,,,,,,,,
15266,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,
15106,4 cl ,3 cl ,1 cl ,1,,,,,,,
17839,2 oz ,2 oz ,2 oz ,,,,,,,,
17835,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,
11023,2 oz ,1 oz ,1,,,,,,,,
17228,1 1/2 shot ,1 1/2 shot ,,,,,,,,,
11046,1 oz ,1 oz ,1 oz ,,,,,,,,
17836,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1,1,,,,,
17840,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,
17180,4.5 cl,1.5 cl,1.5 cl,,,,,,,,
15182,2 cl ,1 cl ,,,,,,,,,
16311,1 oz ,1/2 oz ,2 oz ,,,,,,,,
12560,1 part ,4 parts ,4 parts ,,,,,,,,
13162,1 cl ,1 cl ,1 1/2,4 cl hot ,,,,,,,
11014,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,
12756,4 cl ,1 dash ,,,,,,,,,
11021,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,
15941,1 oz ,1 oz red ,Twist of ,Twist of ,,,,,,,
15853,1/3 whole,1/3 whole,1/4 whole,,,,,,,,
13332,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,
17254,1 dash,1 oz,1 oz,1 oz,,,,,,,
11149,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1,,,,,,
13222,1/2 oz ,1/2 oz ,,,,,,,,,
17195,6 oz ,1 oz ,,,,,,,,,
17210,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,
11060,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,
11120,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1,1 twist of ,,,,,
178310,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,
12572,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,
11124,2 oz ,1/2 oz ,2 dashes ,1/2 tsp ,1,,,,,,
17209,4.5 cl,1.5 cl,6 cl, 1 dash,top up ,,,,,,
17825,4 oz,1 oz,1 oz,,,,,,,,
178311,1 shot,1/2 shot,3 drops,1 Fresh,cubes,,,,,,
17035,1,1 shot ,,,,,,,,,
17120,1 fifth ,1 fifth Smirnoff red label ,2 L ,2 L ,1 small bottle ,1 pint ,,,,,
11106,1 oz ,1 1/2 oz ,1 twist of ,,,,,,,,
13395,1/2 oz ,1/2 oz ,1/2 oz ,,,,,,,,
16986,2 oz ,1/2 oz ,2 wedges ,2 oz ,,,,,,,
14730,1/4 whole,1/4 whole,1/4 whole,1/4 whole,,,,,,,
14538,1/3 oz ,1/3 oz ,1/3 oz ,,,,,,,,
15511,2 oz ,8 oz ,2 scoops ,,,,,,,,
11129,2 oz ,Juice of 1/2 ,1 tsp ,1,1 slice ,1,,,,,
17267,3 parts,1 part,1 part,1 part,2 parts,2 parts,1 part,,,,
17185,2 oz ,1/4 tsp ,1/4 tsp ,2 dashes ,1,,,,,,
14181,,1/2 oz ,1/2 oz ,,,,,,,,
11202,2 tsp,1,2 1/2 oz ,,,,,,,,
14608,1 oz ,,,,,,,,,,
13751,1-2 shot ,Squeeze ,Fill with ,,,,,,,,
11239,1 1/4 oz ,1 1/2 tsp ,1 tblsp ,,,,,,,,
11288,2 oz ,Juice of 1/2 ,,,,,,,,,
17830,1/2 whole,1/3 oz,2 dashes,1 oz,1 oz,,,,,,
17135,1 part ,2 parts ,,,,,,,,,
11222,2 oz ,1 1/2 tsp ,1 1/2 tsp ,1 1/2 tsp ,,,,,,,
17186,1 1/2 oz ,2 tsp ,Juice of 1/2 ,1,,,,,,,
13206,2,2 tblsp ,2-3 oz ,crushed ,,,,,,,
11251,2 oz ,1/2 oz ,1 tblsp ,,,,,,,,
16047,1 bottle ,1 1/2 cl ,,,,,,,,,
11242,1 oz ,1 oz ,Juice of 1/2 ,1 tsp ,1,,,,,,
17196,1 1/4 oz ,1/4 oz ,1/4 oz ,1/4 cup ,,,,,,,
12800,2 cups ,2 cups white ,1/2 cup instant ,2-Jan,1 1/2 cup,,,,,,
11224,2 oz ,1/2 oz ,1 tsp ,1 dash ,1,,,,,,
17250,3/4 oz,3/4 oz,3/4 oz,3/4 oz,1 dash,,,,,,
13328,1/2 shot ,1/2 shot ,1 dash ,,,,,,,,
11255,1 oz ,1/2 oz ,1/2 oz Muscatel ,,,,,,,,
12798,10 tblsp instant ,4 tblsp ,2 1/2 cups ,1 qt ,2 1/2 cups ,,,,,,
17108,1 dl ,7 drops ,,,,,,,,,
12734,125 gr,3/4 L ,,,,,,,,,
12890,4 cups ,1 1/2 cup ,4 cups ,1 tblsp ,2 qt ,,,,,,
17187,6 cl,2 dashes,2 Fresh leaves,,,,,,,,
13128,1/2 pint ,1/2 pint ,1 dash ,,,,,,,,
11006,1 1/2 oz ,Juice of 1/2 ,1 tsp ,,,,,,,,
15409,3 parts ,1 part ,,,,,,,,,
16991,2 part ,1 part ,2 shots ,Float Bacardi ,,,,,,,
11320,1 1/2 oz ,4 oz ,1,,,,,,,,
11005,1 2/3 oz ,1/3 oz ,1,,,,,,,,
11324,2 1/2 oz ,1 1/2 tsp ,1 twist of ,,,,,,,,
14466,,,,,,,,,,,
17181,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,,
14482,1 part ,1 part ,1 part ,cubes,,,,,,,
17211,5 cl,10 cl,,,,,,,,,
17177,2 tsp ,1,2 1/2 oz,,,,,,,,
17182,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,,
13194,0.75 oz ,0.25 oz ,,,,,,,,,
11326,1 1/2 oz ,3/4 oz ,1 dash ,1 twist of ,,,,,,,
12736,2 oz ,6-8 oz ,1 stick ,1,2 oz finely chopped dark ,Fresh ,,,,,
178334,2 shots,Top,,,,,,,,,
12668,2 tblsp ,6 oz whole ,6 oz ,,,,,,,,
12910,6,1/4 cup ,2 cups ,1/2 cup ,1/2 cup ,1 tsp ,1/4 tsp ,1 cup ,6,1/4 cup ,Ground 
11338,3/4 oz ,3/4 oz ,3/4 oz ,,,,,,,,
17212,5 cl,1 cl,1 dash,,,,,,,,
178309,1 shot,1/2 shot,1 shot,1 shot,,,,,,,
12916,1/2 cup ,3 tblsp ,13 oz skimmed ,3/4 cup skimmed ,1 tsp ,1 tsp ,"
","
","
","
","
"
11339,3/4 oz ,1 1/2 oz ,3/4 oz ,1 tsp ,1/4 tsp ,1,,,,,
178346,60 ml,1,3 cl,,,,,,,,
12914,6,1/4 cup ,1/4 tsp ,1 qt ,1 tsp ,,,,,,
17246,2 oz,3/4 oz,1/2 oz,,,,,,,,
178352,750 ml,1/2 cup,8 oz,2-3 oz,,,,,,,
